hostname,interface,shutdown,description,nosw_noip,port_mode,trunk vlan,access vlan,channel-group,spanning-tree,ipaddr,vrf,helper-address,access-group,standby,ippim,ipigmp,ippolicy,servicepolicy,no ip xxx,other
n1pnecdmz1201,Port-channel57,-,n1pnecdmz1101 - Po57,-,trunk,"['601-620,703,709,751-757,781,800,810,2001']",-,-,-,-,-,-,-,-,-,-,-,-,-,"['switchport nonegotiate', 'load-interval 30']"
n1pnecdmz1201,GigabitEthernet0/0,-,n1pnecoob1201 - Gi1/3,-,-,-,-,-,['portfast'],172.31.210.16 255.255.254.0,Mgmt-vrf,-,-,-,-,-,-,-,-,"['load-interval 30', 'negotiation auto']"
n1pnecdmz1201,GigabitEthernet1/0/1,-,n1pnelsgw1401 - P1,-,access,-,781,-,['portfast'],-,-,-,-,-,-,-,-,-,-,"['load-interval 30', 'storm-control broadcast level 1.00', 'storm-control action trap']"
n1pnecdmz1201,GigabitEthernet1/0/2,shutdown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n1pnecdmz1201,GigabitEthernet1/0/3,shutdown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n1pnecdmz1201,GigabitEthernet1/0/4,shutdown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n1pnecdmz1201,GigabitEthernet1/0/5,shutdown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n1pnecdmz1201,GigabitEthernet1/0/6,shutdown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n1pnecdmz1201,GigabitEthernet1/0/7,shutdown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n1pnecdmz1201,GigabitEthernet1/0/8,shutdown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n1pnecdmz1201,GigabitEthernet1/0/9,shutdown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n1pnecdmz1201,GigabitEthernet1/0/10,shutdown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n1pnecdmz1201,GigabitEthernet1/0/11,shutdown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n1pnecdmz1201,GigabitEthernet1/0/12,shutdown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n1pnecdmz1201,GigabitEthernet1/0/13,shutdown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n1pnecdmz1201,GigabitEthernet1/0/14,shutdown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
